Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Giambi, Jason",1b,31,Type A,OAK,NYA,7,"$120,000,000 ",2002-08,,,"$17,142,857",Arn Tellem,Geo Steinbrenner,Brian Cashman,
"Bonds, Barry",lf,37,Type A,SFN,SFN,5,"$90,000,000 ",2002-06,,,"$18,000,000",Boras Corp.,Peter Magowan,Brian Sabean,
"Park, Chan Ho",rhp-s,29,Type A,LAN,TEX,5,"$65,000,000 ",2002-06,,,"$13,000,000",,Tom Hicks,John Hart,
"Damon, Johnny",of,28,Type A,OAK,BOS,4,"$31,000,000 ",2002-05,,,"$7,750,000",Boras Corp.,JRY Trust/JHenry,Mike Port,
"Smoltz, John",rhp-c,35,Type A,ATL,ATL,3,"$30,000,000 ",2002-04,,,"$10,000,000",Lonnie Cooper,Time Warner,John Schuerholz,
"Schmidt, Jason",rhp,29,Type B,SFN,SFN,4,"$30,000,000 ",2002-05,,,"$7,500,000",Hendricks Sports,Peter Magowan,Brian Sabean,
"Alou, Moises",of,35,Type A,HOU,CHN,3,"$27,000,000 ",2002-04,,,"$9,000,000",,Tribune Co.,Andy MacPhail,
"Isringhausen, Jason",rhp-c,29,Type A,OAK,SLN,4,"$27,000,000 ",2002-05,,,"$6,750,000",Dan Horwits,Bill DeWitt Jr.,Walt Jocketty,
"Boone, Bret",2b,33,Type A,SEA,SEA,3,"$25,000,000 ",2002-04,,,"$8,333,333",,Nintendo/America,Pat Gillick,
"Gonzalez, Juan",of,32,Type A,CLE,TEX,2,"$24,000,000 ",2002-03,,,"$12,000,000",,Tom Hicks,John Hart,
"Sele, Aaron",rhp,32,Type A,SEA,ANA,3,"$24,000,000 ",2002-04,,,"$8,000,000",Reich Katz Landis,Disney Co.,Bill Stoneman,
"Karsay, Steve",rhp,30,Type A,ATL,NYA,4,"$22,250,000 ",2002-05,,,"$5,562,500",Hendricks Sports,Geo Steinbrenner,Brian Cashman,
"Martinez, Tino",1b,34,Type B,NYA,SLN,3,"$21,000,000 ",2002-04,,,"$7,000,000",Jim Krivacs,Bill DeWitt Jr.,Walt Jocketty,
"Cedeno, Roger",of,27,Type B,DET,NYN,4,"$18,000,000 ",2002-05,,,"$4,500,000",Peter Greenberg,Wilpon/Doubleday,Steve Phillips,
"Nomo, Hideo",rhp-s,33,Type A,BOS,LAN,2,"$13,750,000 ",2002-03,,,"$6,875,000",Arn Tellem,Fox Ent Group,Dan Evans,
"Hitchcock, Sterling",lhp,31,,NYA,NYA,2,"$12,000,000 ",2002-03,,,"$6,000,000",Tommy Tanzer,Geo Steinbrenner,Brian Cashman,
"Burkett, John",rhp-s,37,Type A,ATL,BOS,2,"$11,000,000 ",2002-03,,,"$5,500,000",Tommy Tanzer,JRY Trust/JHenry,Mike Port,
"Gutierrez, Ricky",ss,32,Type A,CHN,CLE,3,"$11,000,000 ",2002-04,,,"$3,666,666",,Larry Dolan,Mark Shapiro,
"White, Rondell",of,30,Type A,CHN,NYA,2,"$10,000,000 ",2002-03,,,"$5,000,000",ACES,Geo Steinbrenner,Brian Cashman,
"Weathers, David",rhp,32,Type A,CHN,NYN,3,"$9,400,000 ",2002-04,,,"$3,133,333",Jeff Borris,Wilpon/Doubleday,Steve Phillips,
"Cordova, Marty",of,32,Type C,CLE,BAL,3,"$9,100,000 ",2002-04,,,"$3,033,333",ACES,Peter Angelos,Syd Thrift,
"Bautista, Danny",of,30,Type B,ARI,ARI,3,"$9,000,000 ",2002-04,,,"$3,000,000",,Jerry Colangelo,Joe Garagiola Jr.,
"Powell, Jay",rhp,30,Type B,COL,TEX,3,"$9,000,000 ",2002-04,,,"$3,000,000",Bo McKinnis,Tom Hicks,John Hart,
"Castilla, Vinny",3b,34,Type B,HOU,ATL,2,"$8,000,000 ",2002-03,,,"$4,000,000",Eric Goldschmidt,Time Warner,John Schuerholz,
"Van Poppel, Todd",rhp,30,Type A,CHN,TEX,3,"$7,500,000 ",2002-04,,,"$2,500,000",Boras Corp.,Tom Hicks,John Hart,
"Wells, David",lhp-s,39,Type A,CHA,NYA,2,"$7,000,000 ",2002-03,,,"$3,500,000",Gregg Clifton,Geo Steinbrenner,Brian Cashman,
"Williams, Mike",rhp,33,Type A,HOU,PIT,2,"$7,000,000 ",2002-03,,,"$3,500,000",Bean Stringfellow,Kevin McClatchy,Dave Littlefield,
"Christiansen, Jason",lhp,32,Type B,SFN,SFN,3,"$6,800,000 ",2002-04,,,"$2,266,666",,Peter Magowan,Brian Sabean,
"McLemore, Mark",2b,37,Type A,SEA,SEA,2,"$6,300,000 ",2002-03,,,"$3,150,000",Tony Attanasio,Nintendo/America,Pat Gillick,
"Lopez, Javy",c,31,Type A,ATL,ATL,1,"$6,000,000 ",2002,,,"$6,000,000",Reich Katz Landis,Time Warner,John Schuerholz,
"Paquette, Craig",3b,33,Type C,SLN,DET,2,"$5,100,000 ",2002-03,,,"$2,550,000",,Mike Ilitch,Randy Smith,
"Astacio, Pedro",rhp,33,Type A,HOU,NYN,1,"$5,000,000 ",2002,,,"$5,000,000",Steve Schnedier,Wilpon/Doubleday,Steve Phillips,
"Lopez, Albie",rhp,30,Type B,ARI,ATL,1,"$4,000,000 ",2002,,,"$4,000,000",Eric Goldschmidt,Time Warner,John Schuerholz,
"Wohlers, Mark",rhp,32,,NYA,CLE,2,"$4,000,000 ",2002-03,,,"$2,000,000",ACES,Larry Dolan,Mark Shapiro,
"Young Sr., Eric",2b,35,Type A,CHN,MIL,2,"$4,000,000 ",2002-03,,,"$2,000,000",Dennis Gilbert,Wendy Selig-Prieb,Dean Taylor,
"Santiago, Benito",c,37,Type A,SFN,SFN,2,"$3,750,000 ",2002-03,,,"$1,875,000",,Peter Magowan,Brian Sabean,
"Adams, Terry",rhp,29,Type A,LAN,PHI,1,"$2,700,000 ",2002,,,"$2,700,000",Hendricks Sports,Bill Giles,Ed Wade,
"Valdes, Ismael",rhp-s,28,Type C,ANA,TEX,1,"$2,500,000 ",2002,,,"$2,500,000",,Tom Hicks,John Hart,
"Zaun, Gregg",c,31,Type B,KCA,HOU,2,"$2,350,000 ",2002-03,,,"$1,175,000",,Drayton McLane,Gerry Hunsicker,
"Sanders, Reggie",of,34,Type B,ARI,SFN,1,"$2,250,000 ",2002,,,"$2,250,000",Eric Goldschmidt,Peter Magowan,Brian Sabean,
"Hunter, Brian L.",of,31,,PHI,HOU,2,"$2,200,000 ",2002,,,"$1,100,000",,Drayton McLane,Gerry Hunsicker,
"Burba, Dave",rhp-s,35,Type A,CLE,TEX,1,"$2,000,000 ",2002,,,"$2,000,000",,Tom Hicks,John Hart,
"Knoblauch, Chuck",of,33,Type C,NYA,KCA,1,"$2,000,000 ",2002,,,"$2,000,000",,David Glass,Allard Baird,
"Sierra, Ruben",of,36,Type C,TEX,SEA,1,"$1,900,000 ",2002,,,"$1,900,000",,Nintendo/America,Pat Gillick,
"Bell, David",3b,29,Type B,SEA,SEA,1,"$1,750,000 ",2002,,,"$1,750,000",Arn Tellem,Nintendo/America,Pat Gillick,accepted arbitration
"Vizcaino, Jose",ss,34,,HOU,HOU,1,"$1,700,000 ",2002,,,"$1,700,000",Reich Katz Landis,Drayton McLane,Gerry Hunsicker,
"Bottalico, Ricky",rhp,32,Type A,PHI,PHI,1,"$1,500,000 ",2002,,,"$1,500,000",Gregg Clifton,Bill Giles,Ed Wade,
"Jones, Todd",rhp,34,Type A,MIN,COL,1,"$1,300,000 ",2002,,,"$1,300,000",Hendricks Sports,Jerry McMorris,Dan O'Dowd,
"Baldwin, James",rhp,30,Type B,LAN,SEA,1,"$1,250,000 ",2002,,,"$1,250,000",Rex Gary,Nintendo/America,Pat Gillick,
"Charlton, Norm",lhp,39,Type B,SEA,SEA,1,"$1,250,000 ",2002,,,"$1,250,000",Hendricks Sports,Nintendo/America,Pat Gillick,
"Cook, Dennis",lhp,39,Type C,PHI,ANA,1,"$1,250,000 ",2002,,,"$1,250,000",,Disney Co.,Bill Stoneman,
"DeShields, Delino",2b,33,Type B,CHN,CHN,1,"$1,250,000 ",2002,,,"$1,250,000",Reich Katz Landis,Tribune Co.,Andy MacPhail,
"Gomez, Chris",ss,31,,TBA,TBA,1,"$1,250,000 ",2002,,,"$1,250,000",Alan Meersand,Vince Naimoli,Chuck LaMar,
