FREE AGENTS 2020,,The 168 XX(B) free agents for the 2019-20 off-season. ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
2020 TOTAL,,,168,,,,"$2,131,900,000 ",,,,,,,,
Average Guarantee,,,,,,1.22,"$15,791,852 ",,,,,,,,
Median Guarantee,,,,,,,"$3,000,000 ",,,,,,,,
Major League contracts,,,92,55%,,,,,,,,,,,
Minor League contracts,,,43,26%,,,,,,,,,,,
International contracts,,,5,3%,,,,,,,,,,,
Retired FA,,,9,5%,,,,,,,,,,,
Remaining FA,,,19,11%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Cole, Gerrit",rhp-s,29,accepted,HOU,NYA,9,"$324,000,000 ",2020-28,,,"$36,000,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Rendon, Anthony",3b,30,rejected,WAS,ANA,7,"$245,000,000 ",2020-26,,,"$35,000,000",Boras Corp.,Arturo Moreno,Billy Eppler,
"Strasburg, Stephen",rhp-s,31,rejected,WAS,WAS,7,"$245,000,000 ",2020-26,,,"$35,000,000",Boras Corp.,Mark Lerner,Mike Rizzo,
"Wheeler, Zack",rhp-s,30,rejected,NYN,PHI,5,"$118,000,000 ",2020-24,,,"$23,600,000",Jet Sports,John Middleton,MacPhail/Klentak,
"Donaldson, Josh",3b,34,rejected,ATL,MIN,4,"$92,000,000 ",2020-23,club,,"$23,000,000",MVP Sports,Jim Pohlad,DFalvey /TLevine,
"Bumgarner, Madison",lhp-s,30,rejected,SFN,ARI,5,"$85,000,000 ",2020-24,,,"$17,000,000",Legacy Agency,Ken Kendrick,Mike Hazen,
"Ryu, Hyun-Jin",lhp-s,27,,LAN,TOR,4,"$80,000,000 ",2020-23,,,"$20,000,000",Boras Corp.,Edward Rogers,MShapiro/RAtkins,
"Grandal, Yasmani",c,31,,MIL,CHA,4,"$73,000,000 ",2020-23,,,"$18,250,000",Wasserman,Jerry Reinsdorf,KWilliams/RHahn,
