FREE AGENTS 2021,,The 181 XX(B) free agents for the 2020-21 off-season. ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,Number in group,Percentage of group,,Ave. Years,Guarantee,,,,,,,,
2021 TOTAL,,,181,,,,"$1,317,650,045 ",,,,,,,,
Average Guarantee,,,,,,,"$8,903,041 ",,,,"$6,691,414",,,,
Median Guarantee,,,,,,,"$2,500,000 ",,,,"$5,000,000",,,,
Major League contracts,,,100,55%,,,,,,,,,,,
Minor League contracts,,,48,27%,,,,,,,,,,,
International contracts,,,6,3%,,,,,,,,,,,
Retired FA,,,8,4%,,,,,,,,,,,
Remaining FA,,,19,10%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player,Pos'n,Age 7/1/21,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Springer, George",cf,31.286,rejected,HOU,TOR,6,"$125,000,000 ",2021-26,,,"$25,000,000",Excel,Edward Rogers,MShapiro/RAtkins,
"Realmuto, J.P.",c,30.105,rejected,PHI,PHI,5,"$115,500,000 ",2021-25,,,"$23,100,000",CAA,John Middleton,Dombrowski/Fuld,
"Bauer, Trevor",rhp-s,30.166,rejected,CIN,LAN,3,"$110,000,000 ",2021-23,,2,"$34,000,000",Luba Sports,Mark Walter,Andrew Friedman,
"LeMahieu, D.J.",2b,32.354,rejected,NYA,NYA,6,"$90,000,000 ",2021-26,,,"$15,000,000",Excel,Hal Steinbrenner,Brian Cashman,
"Ozuna, Marcell",lf,30.232,,ATL,ATL,4,"$65,000,000 ",2021-24,club,,"$16,250,000",MDR Sports,Liberty Media,Alex Anthopoulos,
"Hendriks, Liam",rhp,32.142,,OAK,CHA,3,"$54,000,000 ",2021-23,club,,"$18,000,000",ALIGND Sports,Jerry Reinsdorf,KWilliams/RHahn,
"McCann, James",c,31.019,,CHA,NYN,4,"$40,600,000 ",2021-24,,,"$10,150,000",Ballengee,Steve Cohen,Sandy Alderson,
"Turner, Justin",3b,36.221,,LAN,LAN,2,"$34,000,000 ",2021-22,club,,"$17,000,000",GEM Agency,Mark Walter,Andrew Friedman,
