Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Bonilla, Bobby",of,29,Type A,PIT,NYN,5,"$29,000,000 ",1992-96,,,"$5,800,000",Dennis Gilbert,Wilpon/Doubleday,Al Harazin,
"Tartabull, Danny",rf,29,Type A,KCA,NYA,5,"$25,500,000 ",1992-96,,,"$5,100,000",Dennis Gilbert,Geo Steinbrenner,Gene Michael,
"Candiotti, Tom",rhp,34,Type A,TOR,LAN,4,"$15,500,000 ",1992-95,,,"$3,875,000",Rocky Luccia,Peter O'Malley,Fred Claire,
"Viola, Frank",lhp-s,32,Type A,NYN,BOS,3,"$13,900,000 ",1992-94,,,"$4,633,333",Craig French,JYawkey/JRY Trust,Lou Gorman,
"Morgan, Mike",rhp,32,Type A,LAN,CHN,4,"$12,500,000 ",1992-95,,,"$3,125,000",Joe Garagiola Jr.,Tribune Co.,Larry Himes,
"Pagliarulo, Mike",3b,32,Type B,MIN,MIN,1,"$12,000,000 ",1992,,,"$12,000,000",Alan Nero,Carl Pohlad,Andy MacPhail,
"Buechele, Steve",3b,30,Type A,PIT,PIT,4,"$11,000,000 ",1992-95,,,"$2,750,000",Alan Meersand,Pittsburgh Assocs.,Doughty/Simmons,
"Morris, Jack",rhp-s,37,Type A,MIN,TOR,2,"$10,850,000 ",1992-93,club,,"$5,425,000",Richard Moss,Labatt Brewing,Pat Gillick,
"Hershiser, Orel",rhp-s,33,Type C,LAN,LAN,3,"$10,000,000 ",1992-94,,,"$3,333,333",Bronner/Gilhooley,Peter O'Malley,Fred Claire,
"Williams, Mitch",lhp,27,Type A,PHI,PHI,3,"$9,200,000 ",1992-94,,,"$3,066,667",Hendricks Sports,Bill Giles,Lee Thomas,
"Murray, Eddie",1b,36,Type A,LAN,NYN,2,"$7,500,000 ",1992-93,,,"$3,750,000",Ron Shapiro,Wilpon/Doubleday,Al Harazin,
"McCaskill, Kirk",rhp-s,31,Type C,CAL,CHA,3,"$7,000,000 ",1992,,,"$2,333,333",Marvin Demoff,Jerry Reinsdorf,Ron Schueler,
"LaValliere, Mike",c,31,Type A,PIT,PIT,3,"$6,300,000 ",1992-94,,,"$2,100,000",Hendricks Sports,Pittsburgh Assocs.,Doughty/Simmons,
"Pasqua, Dan",of,30,Type A,CHA,CHA,3,"$6,000,000 ",1992-94,,,"$2,000,000",Bill Moore,Jerry Reinsdorf,Ron Schueler,
"Gallego, Mike",2b,31,Type B,OAK,NYA,3,"$5,100,000 ",1992-94,,,"$1,700,000",Bronner/Gilhooley,Geo Steinbrenner,Gene Michael,
"Harper, Brian",c,32,Type A,MIN,MIN,2,"$5,000,000 ",1992-93,,,"$2,500,000",Nick Lampros,Carl Pohlad,Andy MacPhail,
"Duncan, Mariano",2b,29,Type B,CIN,PHI,2,"$4,500,000 ",1992-93,club,,"$2,250,000",Tony Attanasio,Bill Giles,Lee Thomas,
"Joyner, Wally",1b,30,Type A,CAL,KCA,1,"$4,200,000 ",1992,,,"$4,200,000",Steve Freyer,Ewing Kauffman,Herk Robinson,
