Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Soriano, Alfonso",of,31,Type A,WAS,CHN,8,"$136,000,000 ",2007-14,,,"$17,000,000",SFX,Tribune Co.,Jim Hendry,
"Zito, Barry",lhp-s,29,Type A,OAK,SFN,7,"$126,000,000 ",2007-13,club,,"$18,000,000",Boras Corp.,Peter Magowan,Brian Sabean,
"Lee, Carlos",of,31,Type A,TEX,HOU,6,"$100,000,000 ",2007-12,,,"$16,666,666",Adam Katz,Drayton McLane,Tim Purpura,
"Ramirez, Aramis",3b,29,Type A,CHN,CHN,5,"$75,000,000 ",2007-11,player,,"$15,000,000",Paul Kinzer,Tribune Co.,Jim Hendry,
"Drew, J.D.",of,31,Type A,LAN,BOS,5,"$70,000,000 ",2007-11,,,"$14,000,000",Boras Corp.,John Henry,Theo Epstein,
"Meche, Gil",rhp-s,28,Type B,SEA,KCA,5,"$55,000,000 ",2007-11,,,"$11,000,000",Casey Close,David Glass,Dayton Moore,
"Matthews, Gary Jr.",of,32,Type A,TEX,ANA,5,"$50,000,000 ",2007-11,,,"$10,000,000",Scott Leventhal,Arturo Moreno,Bill Stoneman,
"Schmidt, Jason",rhp,34,Type A,SFN,LAN,3,"$47,000,000 ",2007-09,,,"$15,666,666",Hendricks Sports,Frank McCourt,Ned Colletti,
"Pierre, Juan",of,29,Type B,CHN,LAN,5,"$44,000,000 ",2007-11,,,"$8,800,000",SFX,Frank McCourt,Ned Colletti,
"Suppan, Jeff",rhp-s,32,Type A,SLN,MIL,4,"$42,000,000 ",2007-10,club,,"$10,500,000",ABC Mgmt,Mark Attanasio,Doug Melvin,
"Lilly, Ted",lhp-s,31,Type B,TOR,CHN,4,"$40,000,000 ",2007-10,,,"$10,000,000",Larry O'Brien,Tribune Co.,Jim Hendry,
"Lugo, Julio",ss,31,Type A,LAN,BOS,4,"$36,000,000 ",2007-10,vesting,,"$9,000,000",Dan Lozano,John Henry,Theo Epstein,
"Padilla, Vicente",rhp-s,29,Type B,TEX,TEX,3,"$33,750,000 ",2007-09,club,,"$11,250,000",Paul Kinzer,Tom Hicks,Jon Daniels,
"Clemens, Roger",rhp-s,44,Type A,HOU,NYA,1,"$28,000,022 ",2007,,,"$28,000,022",Hendricks Sports,Geo Steinbrenner,Brian Cashman,
"Batista, Miguel",rhp,36,Type B,ARI,SEA,3,"$25,000,000 ",2007-09,,,"$8,333,333",Martin Aburua,Nintendo/America,Bill Bavasi,
"Eaton, Adam",rhp-s,29,Type C,TEX,PHI,3,"$24,500,000 ",2007-09,mutual,,"$8,166,666",Jim Lindell,Bill Giles,Pat Gillick,
"Mussina, Mike",rhp-s,38,Type A,NYA,NYA,2,"$23,000,000 ",2007-08,,,"$11,500,000",Arn Tellem,Geo Steinbrenner,Brian Cashman,
"Marquis, Jason",rhp-s,28,Type B,SLN,CHN,3,"$21,000,000 ",2007-09,,,"$7,000,000",ACES,Tribune Co.,Jim Hendry,
"Huff, Aubrey",of,30,Type A,HOU,BAL,3,"$20,000,000 ",2007-09,,,"$6,666,666",ACES,Peter Angelos,Mike Flanagan,
"Baez, Danys",rhp,29,Type A,ATL,BAL,3,"$19,000,000 ",2007-09,,,"$6,333,333",Greg Genske,Peter Angelos,Mike Flanagan,
"Garciaparra, Nomar",1b,33,Type B,LAN,LAN,2,"$18,500,000 ",2007-08,,,"$9,250,000",Arn Tellem,Frank McCourt,Ned Colletti,
"Thomas, Frank",1b,39,Type B,OAK,TOR,2,"$18,120,000 ",2007-08,vesting,,"$9,060,000",Arn Tellem,Edward Rogers,J.P. Ricciardi,
"Roberts, Dave",of,35,Type A,SDN,SFN,3,"$18,000,000 ",2007-09,,,"$6,000,000",John Boggs,Peter Magowan,Brian Sabean,
"Speier, Justin",rhp,33,Type A,TOR,ANA,4,"$18,000,000 ",2007-10,,,"$4,500,000",Chris Arnold,Arturo Moreno,Bill Stoneman,
"Maddux, Greg",rhp-s,41,Type A,LAN,SDN,1,"$16,000,000 ",2007,player,,"$16,000,000",Boras Corp.,John Moores,Kevin Towers,
"Pettitte, Andy",lhp-s,35,Type A,HOU,NYA,1,"$16,000,000 ",2007,player,,"$16,000,000",Hendricks Sports,Geo Steinbrenner,Brian Cashman,
"Molina, Bengie",c,32,Type A,TOR,SFN,3,"$16,000,000 ",2007-09,,,"$5,333,333",Alan Nero,Peter Magowan,Brian Sabean,
"Bonds, Barry",lf,42,Type A,SFN,SFN,1,"$15,800,000 ",2007,,,"$15,800,000",Jeff Borris,Peter Magowan,Brian Sabean,
"Durham, Ray",2b,35,Type A,SFN,SFN,2,"$14,500,000 ",2007-08,,,"$7,250,000",Edwin Setlik,Peter Magowan,Brian Sabean,
"Gonzalez, Alex",ss,30,Type B,BOS,CIN,3,"$14,000,000 ",2007-09,mutual,,"$4,666,666",Eric Goldschmidt,Bob Castellini,Wayne Krivsky,
"Catalannoto, Frank",of,33,Type A,TOR,TEX,3,"$13,500,000 ",2007-09,club,,"$4,500,000",Alan Nero,Tom Hicks,Jon Daniels,
"Mulder, Mark",lhp-s,29,Type B,SLN,SLN,2,"$13,000,000 ",2007-08,club,,"$6,500,000",Gregg Clifton,Bill DeWitt Jr.,Walt Jocketty,
"DeRosa, Mark",2b,32,Type B,TEX,CHN,3,"$13,000,000 ",2007-09,,,"$4,333,333",Career Sports,Tribune Co.,Jim Hendry,
"Williams, Woody",rhp-s,40,Type A,SDN,HOU,2,"$12,500,000 ",2007-08,club,,"$6,250,000",Meister Sports,Drayton McLane,Tim Purpura,
"Hernandez, Orlando",rhp,41,Type B,NYN,NYN,2,"$12,000,000 ",2007-08,,,"$6,000,000",Greg Genske,Fred Wilpon,Omar Minaya,
"Walker, Jamie",lhp,35,Type B,DET,BAL,3,"$12,000,000 ",2007-09,,,"$4,000,000",Phil Tannenbaum,Peter Angelos,Mike Flanagan,
"Dellucci, David",of,33,Type A,PHI,CLE,3,"$11,500,000 ",2007-09,,,"$3,833,333",Joe Longo,Larry Dolan,Mark Shapiro,
"Schoeneweis, Scott",lhp,33,Type B,CIN,NYN,3,"$10,800,000 ",2007-09,,,"$3,600,000",Boras Corp.,Fred Wilpon,Omar Minaya,
"Glavine, Tom",lhp-s,41,Type A,NYN,NYN,1,"$10,500,000 ",2007,player,,"$10,500,000",Gregg Clifton,Fred Wilpon,Omar Minaya,
"Bradford, Chad",rhp,32,Type A,NYN,BAL,3,"$10,500,000 ",2007-09,,,"$3,500,000",Rex Gary,Peter Angelos,Mike Flanagan,
"Kennedy, Adam",2b,31,Type B,ANA,SLN,3,"$10,000,000 ",2007-09,,,"$3,333,333",Paul Cohen,Bill DeWitt Jr.,Walt Jocketty,
"Payton, Jay",of,34,Type B,OAK,BAL,1,"$9,500,000 ",2007,,,"$9,500,000",Craig Landis,Peter Angelos,Mike Flanagan,
