Player,Pos'n,Age 7/1/22,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Seager, Corey",ss,28.065,rejected,LAN,TEX,10,"$325,000,000 ",2022-31,,,"$32,500,000",Boras Corp.,RDavis/BSimpson,JDaniels/CYoung,
"Bryant, Kris",3b,30.178,,SFN,COL,7,"$182,000,000 ",2022,,,"$26,000,000",Boras Corp.,Monfort brothers,Bill Schmidt,
"Semien, Marcus",ss,31.287,rejected,TOR,TEX,7,"$175,000,000 ",2022-28,,,"$25,000,000",Boras Corp.,RDavis/BSimpson,JDaniels/CYoung,
"Freeman, Freddie",1b,32.292,rejected,ATL,LAN,6,"$162,000,000 ",2022-27,,,"$27,000,000",Excel,Mark Walter,AFriedman / BGomes,
"Baez, Javier",ss,29.212,,NYN,DET,6,"$140,000,000 ",2022-27,,Y,"$23,333,333",Wasserman,Chris Ilitch,Al Avila,
"Story, Trevor",ss,29.228,rejected,COL,BOS,6,"$140,000,000 ",2022-27,club,Y,"$23,333,333",Excel,John Henry,CBloom/BO'Halloran,
"Scherzer, Max",rhp-s,37.339,,LAN,NYN,3,"$130,000,000 ",2022-24,,Y,"$43,333,333",Boras Corp.,Steve Cohen,SAlderson/BEppler,
"Ray, Robbie",lhp-s,30.273,rejected,TOR,SEA,5,"$115,000,000 ",2022-26,,,"$23,000,000",VC Sports,John Stanton,Jerry Dipoto,
"Gausman, Kevin",rhp-s,31.176,,SFN,TOR,5,"$110,000,000 ",2022-26,,,"$22,000,000",Tidal Spts,Edward Rogers,MShapiro/RAtkins,
"Correa, Carlos",ss,27.282,rejected,HOU,MIN,3,"$105,300,000 ",2022-24,,Y,"$35,100,000",Boras Corp.,Jim Pohlad,DFalvey /TLevine,
"Castellanos, Nick",rf,30.119,rejected,CIN,PHI,5,"$100,000,000 ",2022-26,,,"$20,000,000",Boras Corp.,John Middleton,DDombrowski / SFuld,
"Schwarber, Kyle",lf,29.118,,BOS,PHI,4,"$79,000,000 ",2022-25,,,"$19,750,000",Excel,John Middleton,Dombrowski/Fuld,
"Marte, Starling",cf,33.265,,OAK,NYN,4,"$78,000,000 ",2022-25,,,"$19,500,000",Rep 1,Steve Cohen,SAlderson/BEppler,
"Rodriguez, Eduardo",lhp-s,29.085,rejected,BOS,DET,5,"$77,000,000 ",2022-26,,Y,"$15,400,000",Mato Sports,Chris Ilitch,Al Avila,
"Stroman, Marcus",rhp-s,31.061,,NYN,CHN,3,"$71,000,000 ",2022-24,,Y,"$23,666,667",Klutch Spts,Tom Ricketts,JHoyer / CHawkins,
"Taylor, Chris",cf,31.306,rejected,LAN,LAN,4,"$60,000,000 ",2022-25,,,"$15,000,000",Meister Spts,Mark Walter,Andrew Friedman,
"Iglesias, Raisel",rhp-c,32.178,rejected,ANA,ANA,4,"$58,000,000 ",2022-25,,,"$14,500,000",Magnus Spts,Arturo Moreno,Perry Minasian,
"Gray, Jon",rhp-s,30.238,,COL,TEX,4,"$56,000,000 ",2022-25,,,"$14,000,000",CAA,RDavis/BSimpson,JDaniels/CYoung,
"Garcia, Avisail",rf-dh,31.019,,MIL,MIA,4,"$53,000,000 ",2022-25,,,"$13,250,000",Mato Sports,Bruce Sherman,Kim Ng,
"Matz, Steven",lhp-s,31.033,,TOR,SLN,4,"$44,000,000 ",2022-25,,,"$11,000,000",Icon Spts,Bill DeWitt Jr.,JMozeliak/MGirsh,
"Rodon, Carlos",lhp-s,29.203,,CHA,SFN,2,"$44,000,000 ",2022-23,,Y,"$22,000,000",Boras Corp.,Greg Johnson,F Zaidi / S Harris,
"DeSclafani, Anthony",rhp-s,32.074,,SFN,SFN,3,"$36,000,000 ",2022-24,,,"$12,000,000",VC Sports,Greg Johnson,F Zaidi / S Harris,
"Kikuchi, Yusei",lhp-s,31.014,,SEA,TOR,3,"$36,000,000 ",2022-24,,,"$12,000,000",Boras Corp.,Edward Rogers,MShapiro/RAtkins,
"Soler, Jorge",dh-rf,30.126,,ATL,MIA,3,"$36,000,000 ",2022-24,,Y,"$12,000,000",MVP Spts,Bruce Sherman,Kim Ng,
"Rizzo, Anthony",1b,32.327,,NYA,NYA,2,"$32,000,000 ",2022-23,,Y,"$16,000,000",Sports One,Hal Steinbrenner,Brian Cashman,
"Canha, Mark",1b-lf,33.136,,OAK,NYN,2,"$26,500,000 ",2022-23,club,,"$13,250,000",CAA,Steve Cohen,SAlderson/BEppler,
"Verlander, Justin",rhp-s,39.131,rejected,HOU,HOU,1,"$25,000,000 ",2022,conditional,,"$25,000,000",ISE,Jim Crane,James Click,
"Wood, Alex",lhp-s,31.170,,SFN,SFN,2,"$25,000,000 ",2022,,,"$12,500,000",ACES,Greg Johnson,F Zaidi / S Harris,
"Graveman, Kendall",rhp,31.192,,HOU,CHA,3,"$24,000,000 ",2022-24,,,"$24,000,000",Sports One,Jerry Reinsdorf,KWilliams/RHahn,
"Syndergaard, Noah",rhp-s,29.306,rejected,NYN,ANA,1,"$21,000,000 ",2022,,,"$21,000,000",CAA,Arturo Moreno,Perry Minasian,
"Cobb, Alex",rhp-s,34.267,,ANA,SFN,2,"$20,000,000 ",2022-23,club,,"$10,000,000",Beverly Hills,Greg Johnson,F Zaidi / S Harris,
"Escobar, Eduardo",3b,33.177,,MIL,NYN,2,"$20,000,000 ",2022-23,club,,"$10,000,000",DJ Rengifo,Steve Cohen,SAlderson/BEppler,
"Belt, Brandon",1b,35.072,accepted,SFN,SFN,1,"$18,400,000 ",2022,,,"$18,400,000",Excel,Greg Johnson,F Zaidi / S Harris,
"Rosario, Eddie",lf,30.276,,ATL,ATL,2,"$18,000,000 ",2022-23,club,,"$9,000,000",Roc Nation,Liberty Media,Alex Anthopoulos,
"Kelly, Joe",rhp,34.022,,LAN,CHA,2,"$17,000,000 ",2022-23,club,,"$17,000,000",ACES,Jerry Reinsdorf,KWilliams/Rhahn,
"Kershaw, Clayton",lhp-s,34.104,,LAN,LAN,1,"$17,000,000 ",2022,,,"$17,000,000",Excel,Mark Walter,Andrew Friedman,
"Loup, Aaron",lhp,34.194,,NYN,ANA,2,"$17,000,000 ",2022-23,club,,"$8,500,000",Beverly Hills,Arturo Moreno,Perry Minasian,
"Neris, Hector",rhp,33.017,,PHI,HOU,2,"$17,000,000 ",2022-23,,,"$8,500,000",Octagon,Jim Crane,James Click,
"Garcia, Leury",cf-2b,31.105,,CHA,CHA,3,"$16,500,000 ",2022-24,,,"$5,500,000",Rep 1,Jerry Reinsdorf,KWilliams/RHahn,
"Jansen, Kenley",rhp-c,34.274,,LAN,ATL,1,"$16,000,000 ",2022,club,,"$16,000,000",Wasserman,Liberty Media,Alex Anthopoulos,
"Cruz, Nelson",dh-rf,42.000,,TBA,WAS,1,"$15,000,000 ",2022,mutual,,"$15,000,000",Bryce Dixon,Mark Lerner,Mike Rizzo,
"Melancon, Mark",rhp-c,37.095,,SDN,ARI,2,"$14,000,000 ",2022-23,mutual,,"$7,000,000",ISE,Peter Seidler,A.J. Preller,
"Tepera, Ryan",rhp,34.240,,CHA,ANA,2,"$14,000,000 ",2022,,,"$7,000,000",,Arturo Moreno,Perry Minasian,
"Chafin, Andrew",lhp,32.014,,OAK,DET,2,"$13,000,000 ",2022-23,,Y,"$6,500,000",Pro Star Mgmt,Chris Ilitch,Al Avila,
"Gomes, Yan",c,34.347,,OAK,CHN,2,"$13,000,000 ",2022-23,club,,"$6,500,000",Jet Spts,Tom Ricketts,JHoyer / CHawkins,
"Greinke, Zack",rhp-s,38.253,,HOU,KCA,1,"$13,000,000 ",2022,,,"$13,000,000",Excel,John Sherman,DMoore / JJ Picollo,
"Garcia, Yimi",rhp,31.317,,HOU,TOR,2,"$11,000,000 ",2022-23,club,,"$5,500,000",Ballplayers Agy,Edward Rogers,MShapiro/RAtkins,
"Knebel, Corey",rhp,30.217,,LAN,PHI,1,"$10,000,000 ",2022,,,"$10,000,000",Excel,John Middleton,Dombrowski/Fuld,
"McHugh, Collin",rhp,35.012,,TBA,ATL,2,"$10,000,000 ",2022-23,club,,"$5,000,000",Moye Spts,Liberty Media,Alex Anthopoulos,
"Miller, Brad",2b,32.256,,PHI,TEX,2,"$10,000,000 ",2022-23,,,"$5,000,000",ISE,RDavis/BSimpson,JDaniels/CYoung,
"Paxton, James",lhp-s,33.237,,SEA,BOS,1,"$10,000,000 ",2022,club,,"$10,000,000",Boras Corp.,John Henry,CBloom/BO'Halloran,
"Raley, Brooks",lhp,34.002,,HOU,TBA,2,"$10,000,000 ",2022-23,club,,"$5,000,000",Vanguard,Stuart Sternberg,Silverman/Neander,
"McCutchen, Andrew",lf,35.264,,PHI,MIL,1,"$8,500,000 ",2022,,,"$8,500,000",Aegis Sports,Mark Attanasio,DStearns/MArnold,
"Yates, Kirby",rhp,35.098,,TOR,ATL,2,"$8,250,000 ",2022-23,club,,"$4,125,000",Beverly Hills,Liberty Media,Alex Anthopoulos,
